,model_number,name,manufacturer,cores,tdp,base_frequency,socket,memory_type,ecc_Compatability,architecture,wattage,clock
344,1451,FX-8350,amd,8,125,4000,AM3+,DDR3,FALSE,x64,125,32
345,5721,A10 Micro-6700T with Radeon R6 Graphics,amd,4,4.5,2200,FT3b,DDR3L,FALSE,x64,4.5,28
346,1446,FX-8320E,amd,8,95,3200,AM3+,DDR3,FALSE,x64,95,32
347,1441,FX-8320,amd,8,125,3500,AM3+,DDR3,FALSE,x64,125,32
348,1436,FX-8310,amd,8,95,3400,AM3+,,FALSE,x64,95,32
349,1431,FX-8300,amd,8,95,3300,AM3+,DDR3,FALSE,x64,95,32
350,1426,FX-8150,amd,8,125,3600,AM3+,DDR3,FALSE,x64,125,32
351,1421,FX-8120,amd,8,125,3100,AM3+,,FALSE,x64,125,32
352,5956,A8-7410 with Radeon R5 Graphics,amd,4,15,2200,FP4,DDR3L,FALSE,x64,15,28
353,1416,FX-6350 with Wraith cooler,amd,6,125,3900,AM3+,DDR3,FALSE,x64,125,32
354,5826,A8-7200P with Radeon R5 Graphics,amd,4,100,2400,FP3,DDR3,FALSE,x64,100,28
355,1411,FX-6350,amd,6,125,3900,AM3+,DDR3,FALSE,x64,125,32
356,5821,A8-7100 with Radeon R5 Graphics,amd,4,20,1800,FP3,DDR3,FALSE,x64,20,28
357,5936,A8-6410 with Radeon R5 Graphics,amd,4,15,2000,FT3b,DDR3L,FALSE,x64,15,28
358,1926,FX-6300,amd,6,95,3500,AM3+,DDR3,FALSE,x64,95,32
359,1406,FX-6200,amd,6,125,3800,AM3+,DDR3,FALSE,x64,125,32
360,1401,FX 6100,amd,6,95,3300,AM3+,DDR3,FALSE,x64,95,32
361,1396,FX-4350,amd,4,125,4200,AM3+,DDR3,FALSE,x64,125,32
362,1931,FX-4320,amd,4,95,4000,AM3+,DDR3,FALSE,x64,95,32
363,1391,FX-4300,amd,4,95,3800,AM3+,DDR3,FALSE,x64,95,32
364,1386,FX-4170,amd,4,125,4200,AM3+,,FALSE,x64,125,32
365,1381,FX-4130,amd,4,125,3800,AM3,DDR3,FALSE,x64,125,32
366,1376,FX-4100,amd,4,95,3600,AM3+,DDR3,FALSE,x64,95,32
367,1691,1075T,amd,6,95,3500,AM3,DDR3,FALSE,x64,95,
368,1686,1045T,amd,,95,2700,AM3,,FALSE,x64,95,
369,1911,980,amd,4,125,3700,AM3,DDR3,FALSE,x64,125,
370,5931,A6-8500P with Radeon R5 Graphics,amd,2,15,1600,FP4,,FALSE,x64,15,28
371,5941,A6-7310 with Radeon R4 Graphics,amd,4,15,2000,FT3b,DDR3L,FALSE,x64,15,28
372,1906,975,amd,4,125,3600,AM3,DDR3,FALSE,x64,125,45
373,5961,A6-7310 with Radeon R4 Graphics,amd,4,15,2000,FP4,DDR3L,FALSE,x64,15,28
374,1671,965,amd,4,80,3400,AM3,,FALSE,x64,80,
375,5796,A6-7000 with Radeon R4 Graphics,amd,2,17,2200,FT3,,FALSE,x64,17,28
376,1666,960T,amd,4,95,3000,AM3,,FALSE,x64,95,
377,5791,A6-6310 with Radeon R4 Graphics,amd,4,15,2400,FT3b,DDR3L,FALSE,x64,15,28
378,1681,850,amd,4,95,3300,AM3,,FALSE,x64,95,
379,1676,840,amd,4,95,3200,AM3,DDR3,FALSE,x64,95,
380,5451,A6-5350M with Radeon HD 8450G,amd,2,35,2900,FS1r2,DDR3,FALSE,x64,35,32
381,1661,570,amd,2,80,4000,AM3,DDR3,FALSE,x64,80,
382,1936,565,amd,2,80,3400,AM3,,FALSE,x64,80,45
383,5786,A6-5200M with Radeon HD 8400,amd,4,25,2000,FT3,,FALSE,x64,25,28
384,1651,555,amd,2,80,3200,AM3,,FALSE,x64,80,
385,1901,565,amd,2,80,3400,AM3,DDR3,FALSE,x64,80,
386,1611,X940,amd,4,45,2400,S1,DDR3,FALSE,x64,45,
387,1636,N970,amd,4,35,2200,S1,DDR3,FALSE,x64,35,
388,1631,N960,amd,4,35,1800,S1,DDR3,FALSE,x64,35,
389,1641,N870,amd,3,35,2300,AM2+,DDR3,FALSE,x64,35,
390,1646,P860,amd,3,35,2000,AM2+,DDR3,FALSE,x64,35,
391,1621,N660,amd,2,35,3000,S1,DDR3,FALSE,x64,35,
392,5946,A4-7210 with Radeon R3 Graphics,amd,4,65,1800,FT3b,DDR3L,FALSE,x64,65,28
393,1626,P650,amd,2,35,2600,S1,DDR3,FALSE,x64,35,
394,5801,A4 Micro-6400T with Radeon R3 Graphics,amd,4,4.5,1600,FT3b,DDR3L,FALSE,x64,4.5,28
395,1616,N640,amd,2,35,2800,S1,,FALSE,x64,35,
396,5746,A4-6210 with Radeon R3 Graphics,amd,4,15,1800,FT3b,DDR3L,FALSE,x64,15,28
397,1606,B99,amd,4,95,3300,AM3,,FALSE,x64,95,
398,1601,B97,amd,4,95,3200,AM3,,FALSE,x64,95,
399,1596,B95,amd,,95,3000,AM3,,FALSE,x64,95,
400,5741,A4-5100 with Radeon HD 8330,amd,4,15,1550,FT3,,FALSE,x64,15,28
401,1591,B77,amd,3,95,3200,AM3,,FALSE,x64,95,
402,5766,A4-5000 with Radeon HD 8330,amd,4,15,1500,FT3,,FALSE,x64,15,28
403,1586,B75,amd,3,95,3000,AM3,,FALSE,x64,95,
404,1581,B60,amd,2,80,3500,AM3,,FALSE,x64,80,
405,1576,B59,amd,2,80,3400,AM3,,FALSE,x64,80,
406,1571,B57,amd,2,80,3200,AM3,,FALSE,x64,80,
407,1326,641,amd,4,100,2800,FM1,,FALSE,x64,100,32
408,1321,638,amd,4,65,2700,FM1,,FALSE,x64,65,32
409,1311,631,amd,4,100,2600,FM1,,FALSE,x64,100,32
410,1316,631,amd,4,65,2600,FM1,,FALSE,x64,65,32
411,1306,620e,amd,4,45,2700,AM3,DDR3,FALSE,x64,45,
412,1301,460,amd,3,95,3400,AM3,DDR3,FALSE,x64,95,
413,1296,425e,amd,3,45,2700,AM3,DDR3,FALSE,x64,45,
414,1291,255e,amd,2,45,3100,AM3,DDR3,FALSE,x64,45,
415,5981,A10-8700P with Radeon R6 Graphics,amd,4,,1800,FP4,DDR3,FALSE,x64,,28
416,2071,7th Gen AMD Athlon X4 970,amd,4,65,3800,AM4,DDR4,FALSE,x64,65,28
417,5986,A8-8600P with Radeon R6 Graphics,amd,4,,1600,FP4,DDR3,FALSE,x64,,28
418,2076,7th Gen AMD Athlon X4 950,amd,4,,3500,AM4,DDR4,FALSE,x64,,28
419,5996,A8-6410 with Radeon R5 Graphics,amd,4,,2200,FT3b,DDR3L,FALSE,x64,,28
420,2081,7th Gen AMD Athlon X4 940,amd,4,,3200,AM4,DDR4,FALSE,x64,,28
421,5991,A6-8500P with Radeon R5 Graphics,amd,2,,1600,FP4,,FALSE,x64,,28
422,1371,880K with Near Silent Thermal Solution,amd,4,95,4000,FM2+,DDR3,FALSE,x64,95,28
423,6001,A6-7310 with Radeon R4 Graphics,amd,4,,2000,FP4,DDR3L,FALSE,x64,,28
424,6006,A4-7210 with Radeon R3 Graphics,amd,4,65,1800,FP4,DDR3L,FALSE,x64,65,28
425,1366,870K with Near Silent Thermal Solution,amd,4,95,3900,FM2+,DDR3,FALSE,x64,95,28
426,5626,A10-6800B with Radeon HD 8670D,amd,4,45,4100,FM2,DDR3,FALSE,x64,45,32
427,1356,860K,amd,4,95,3700,FM2+,DDR3,FALSE,x64,95,28
428,5631,A10-6790B with Radeon HD 8670D,amd,4,45,4000,FM2,DDR3,FALSE,x64,45,32
429,1361,860K with Near Silent Thermal Solution,amd,4,95,3700,FM2+,DDR3,FALSE,x64,95,28
430,1351,845 with Near Silent Thermal Solution,amd,4,,3500,FM2+,DDR3,FALSE,x64,,28
431,5531,A8-6500B with Radeon HD 8570D,amd,4,65,3500,FM2,DDR3,FALSE,x64,65,32
432,1346,760K,amd,4,100,3800,FM2,,FALSE,x64,100,32
433,1336,750,amd,4,65,3400,FM2,DDR3,FALSE,x64,65,
434,5521,A6-6420B with Radeon HD 8470D,amd,2,65,4000,FM2,DDR3,FALSE,x64,65,32
435,1341,750K,amd,4,100,3400,FM2,,FALSE,x64,100,32
436,1331,740,amd,4,65,3200,FM2,,FALSE,x64,65,32
437,5516,A6-6400B with Radeon HD 8470D,amd,2,65,3900,FM2,DDR3,FALSE,x64,65,32
438,1916,2800,amd,,45,56,939,,FALSE,x64,45,65
439,1566,X1150,amd,4,17,2000,FT3,DDR3,FALSE,x64,17,28
440,1896,6386 SE,amd,16,140,2800,G34,DDR3,TRUE,x86,140,32
441,1891,6380,amd,16,115,2500,G34,DDR3,TRUE,x86,115,32
442,5636,A10 PRO-7850B with Radeon R7 Graphics,amd,4,95,3700,FM2+,DDR3,FALSE,x64,95,28
443,1886,6378,amd,16,115,2400,G34,DDR3,TRUE,x86,115,32
444,5661,A10 PRO-7800B with Radeon R7 Graphics,amd,4,65,3500,FM2+,DDR3,FALSE,x64,65,28
445,1881,6376,amd,16,115,2300,G34,DDR3,TRUE,x86,115,32
446,5676,A8 PRO-7600B with Radeon R7 Graphics,amd,4,65,3100,FM2+,DDR3,FALSE,x64,65,28
447,1876,6370P,amd,16,99,2000,G34,DDR3,TRUE,x86,99,32
448,5671,A6 PRO-7400B with Radeon R5 Graphics,amd,2,65,3500,FM2+,DDR3,FALSE,x64,65,28
449,1871,6366 HE,amd,16,85,1800,G34,DDR3,TRUE,x86,85,32
450,5666,A4 PRO-7350B with Radeon R5 Graphics,amd,2,65,3400,FM2+,DDR3,FALSE,x64,65,28
451,1866,6348,amd,12,115,2800,G34,DDR3,TRUE,xarm,115,32
452,1861,6344,amd,12,115,2600,G34,DDR3,TRUE,xarm,115,32
453,5641,A4 PRO-7300B with Radeon HD 8470D,amd,2,65,3800,FM2,DDR3,FALSE,x64,65,32
454,1856,6338P,amd,12,99,2300,G34,DDR3,TRUE,xarm,99,32
455,5891,A10 PRO-7350B with Radeon R6 Graphics,amd,4,19,2100,FP3,DDR3,FALSE,x64,19,28
456,5901,A8 PRO-7150B with Radeon R5 Graphics,amd,4,100,1900,FP3,DDR3,FALSE,x64,100,28
457,1851,6328,amd,8,115,3200,G34,DDR3,FALSE,x64,115,32
458,5896,A6 PRO-7050B with Radeon R4 Graphics,amd,2,100,2200,FP3,DDR3,FALSE,x64,100,28
459,1846,6320,amd,8,115,2800,G34,DDR3,FALSE,x64,115,32
460,6111,A4 PRO-3350B with Radeon R4 Graphics,amd,4,15,2000,FT3b,DDR3,FALSE,x64,15,28
461,1841,6308,amd,4,115,3500,G34,DDR3,FALSE,x64,115,32
462,6021,A4 PRO-3340B with Radeon HD 8240 Graphics,amd,4,25,2200,FT3,DDR3,FALSE,x64,25,28
463,1836,6284 SE,amd,16,140,2700,G34,DDR3,TRUE,x86,140,32
464,8956,AMD Athlon 3000G,amd,2,35,3500,AM4,,FALSE,x64,35,14
465,1561,6282 SE,amd,16,140,2600,G34,DDR3,TRUE,x86,140,32
466,5886,FX-7600P with Radeon R7 Graphics,amd,4,35,2700,FP3,DDR3,FALSE,x64,35,28
467,8331,AMD Athlon 240GE,amd,2,35,3500,AM4,,FALSE,x64,35,14
468,1831,6278,amd,16,115,2400,G34,DDR3,TRUE,x86,115,32
469,5881,FX-7500 with Radeon R7 Graphics,amd,4,20,2100,FP3,DDR3,FALSE,x64,20,28
470,5976,FX-8800P with Radeon R7 Graphics,amd,4,,2100,FP4,DDR3,FALSE,x64,,28
471,1556,6276,amd,16,115,2300,G34,DDR3,TRUE,x86,115,32
472,8326,AMD Athlon 220GE,amd,2,35,3400,AM4,,FALSE,x64,35,14
473,8206,AMD Athlon 200GE,amd,2,35,3200,AM4,,FALSE,x64,35,14
474,6096,Athlon 5370 APU with Radeon R3 Series,amd,4,25,2200,AM1,DDR3,FALSE,x64,25,28
475,1551,6274,amd,16,115,2200,G34,DDR3,TRUE,x86,115,32
476,1546,6272,amd,16,115,2100,G34,DDR3,TRUE,x86,115,32
477,5836,Athlon 5350 APU with Radeon R3 Series,amd,4,25,2050,AM1,DDR3,FALSE,x64,25,28
478,8201,AMD Athlon PRO 200U Mobile Processor with Radeon Vega 3 Graphics,amd,2,15,2300,FP5,,FALSE,x64,15,14
479,1826,6262 HE,amd,16,85,1600,G34,DDR3,TRUE,x86,85,32
480,5831,Athlon 5150 APU with Radeon R3 Series,amd,4,25,1600,AM1,DDR3,FALSE,x64,25,28
481,8211,AMD Athlon PRO 200GE,amd,2,35,3200,AM4,,FALSE,x64,35,14
482,1541,6238,amd,12,115,2600,G34,DDR3,TRUE,xarm,115,32
483,5911,Sempron 3850 APU with Radeon R3 Series,amd,4,25,1300,AM1,DDR3,FALSE,x64,25,28
484,1821,6234,amd,12,115,2400,G34,DDR3,TRUE,xarm,115,32
485,5906,Sempron 2650 APU with Radeon R3 Series,amd,2,25,1450,AM1,DDR3,FALSE,x64,25,28
486,1816,6220,amd,8,115,3000,G34,DDR3,FALSE,x64,115,32
487,5951,E2-7110 with Radeon R2 Graphics,amd,4,65,1800,FT3b,DDR3L,FALSE,x64,65,28
488,5966,E2-7110 with Radeon R2 Graphics,amd,4,65,1800,FP4,DDR3L,FALSE,x64,65,28
489,5871,E2-6110 with Radeon R2 Graphics,amd,4,15,1500,FT3b,DDR3,FALSE,x64,15,28
490,1811,6212,amd,8,115,2600,G34,DDR3,FALSE,x64,115,32
491,5866,E2-3800 with Radeon HD 8280,amd,4,15,1300,FT3,DDR3,FALSE,x64,15,28
492,1806,6204,amd,4,115,3300,G34,DDR3,FALSE,x64,115,32
493,5876,E2-3000 with Radeon HD 8280,amd,2,15,1650,FT3,,FALSE,x64,15,28
494,1801,6180 SE,amd,12,140,2500,G34,DDR3,TRUE,xarm,140,
495,1536,6176,amd,12,115,2300,G34,DDR3,TRUE,xarm,115,
496,1531,6166 HE,amd,12,85,1800,G34,DDR3,TRUE,xarm,85,
497,1526,6140,amd,8,115,2600,G34,DDR3,FALSE,x64,115,
498,1521,6132 HE,amd,8,85,2200,G34,DDR3,FALSE,x64,85,
499,6011,E2-7110 with Radeon R2 Graphics,amd,4,65,1800,FP4,DDR3L,FALSE,x64,65,28
500,1516,4386,amd,8,95,3100,C32,DDR3,FALSE,x64,95,32
501,1511,4376 HE,amd,8,65,2600,C32,DDR3,FALSE,x64,65,32
502,1506,4365,amd,8,40,2000,C32,DDR3,FALSE,x64,40,32
503,1501,4340,amd,6,95,3500,C32,DDR3,FALSE,x64,95,32
504,1496,4334,amd,6,95,3100,C32,DDR3,FALSE,x64,95,32
505,1491,4332 HE,amd,6,65,3000,C32,DDR3,FALSE,x64,65,32
506,5971,E1-7010 with Radeon R2 Graphics,amd,2,10,1500,FP4,DDR3L,FALSE,x64,10,28
507,5861,E1 Micro-6200T with Radeon R2 Graphics,amd,2,3.95,1400,FT3b,,FALSE,x64,3.95,28
508,1486,4310 EE,amd,6,35,2200,C32,DDR3,FALSE,x64,35,32
509,1796,4284,amd,8,95,3000,C32,DDR3,FALSE,x64,95,32
510,5856,E1-6010 with Radeon R2 Graphics,amd,2,10,1350,FT3b,,FALSE,x64,10,28
511,1791,4280,amd,8,95,2800,C32,DDR3,FALSE,x64,95,32
512,1786,4276 HE,amd,8,65,2600,C32,DDR3,FALSE,x64,65,32
513,5851,E1-2500 with Radeon HD 8240,amd,2,15,1400,FT3,,FALSE,x64,15,28
514,1781,4274 HE,amd,8,65,2500,C32,DDR3,FALSE,x64,65,32
515,5846,E1-2200 with Radeon HD 8210,amd,2,9,1000,FT3,,FALSE,x64,9,28
516,1776,4256 EE,amd,8,35,1600,C32,DDR3,FALSE,x64,35,32
517,5841,E1-2100 with Radeon HD 8210,amd,2,9,1000,FT3,,FALSE,x64,9,28
518,1771,4240,amd,6,95,3400,C32,DDR3,FALSE,x64,95,32
519,1766,4238,amd,6,95,3300,C32,DDR3,FALSE,x64,95,32
520,6016,E1-7010 with Radeon R2 Graphics,amd,2,,1500,FP4,DDR3L,FALSE,x64,,28
521,1761,4234,amd,6,95,3100,C32,DDR3,FALSE,x64,95,32
522,1756,4230 HE,amd,6,65,2900,C32,DDR3,FALSE,x64,65,32
523,1751,4228 HE,amd,6,65,2800,C32,DDR3,FALSE,x64,65,32
524,1746,4226,amd,6,95,2700,C32,DDR3,FALSE,x64,95,32
525,1741,3380,amd,8,65,2600,AM3+,DDR3,FALSE,x64,65,32
526,1736,3365,amd,8,65,2300,AM3+,DDR3,FALSE,x64,65,32
527,1731,3350 HE,amd,4,45,2800,AM3+,DDR3,FALSE,x64,45,32
528,1726,3320 EE,amd,4,25,1900,AM3+,DDR3,FALSE,x64,25,32
529,1721,3280,amd,8,65,2400,AM3+,DDR3,FALSE,x64,65,32
530,1716,3260 HE,amd,4,45,2700,AM3+,DDR3,FALSE,x64,45,32
531,1266,AMD Opteron X2170,amd,4,25,2400,FT3,DDR3,FALSE,x64,25,28
532,1711,3250 HE,amd,,45,2500,AM3+,DDR3,FALSE,x64,45,32
533,5656,AMD Opteron X2150 APU,amd,4,22,1900,FT3,DDR3,FALSE,x64,22,28
534,1706,TL-64,amd,2,35,2200,S1,DDR2,FALSE,x64,35,
535,1701,TL-60,amd,2,31,2000,S1,DDR2,FALSE,x64,31,
536,1696,TL-56,amd,,31,1800,S1,,FALSE,x64,31,
537,1921,TL-52,amd,2,31,1600,S1,,FALSE,x64,31,